"Text","Platform","Scheduled Date"
"There is exactly one Michelin-starred restaurant in Los Cabos.

It's inside an all-inclusive.

Walk in off the street: $250 for the tasting menu, $140 for the pairing.
Stay where I put you: it's in the rate.

Everyone else is sorting by popularity and landing on 902 rooms and a buffet.

📍 Los Cabos
💬 DM me CABO

#loscabos #traveladvisor","Instagram","Week 4 Mon"
"There is exactly one Michelin-starred restaurant in Los Cabos.

It's inside an all-inclusive.

Walk in off the street: $250 for the tasting menu, $140 for the pairing.
Stay where I put you: it's in the rate.

Everyone else is sorting by popularity and landing on 902 rooms and a buffet.

📍 Los Cabos
💬 DM me CABO

#loscabos #traveladvisor","Facebook","Week 4 Mon"
"Here's a question worth asking before you put a deposit on anything in Cabo.

“Can I swim in the ocean in front of your resort?”

Along most of the twenty-mile Tourist Corridor the honest answer is no. Strong undertow, rock underfoot, tides that don't behave. It's not a secret and it's not a scandal — Grand Velas publishes it in their own FAQ, which is more than most will do. But nobody volunteers it while you're booking, and plenty of people find out at check-in with their swimsuit already on.

So the pools aren't a consolation prize in Cabo. They're the product. That changes which property is right for you, and it changes which room in it.

Don't take my word for any of this. Go and read the FAQ of whatever resort you're considering. If it doesn't answer the question, that's your answer.

📍 Los Cabos, Mexico

#loscabos #cabosanlucas #traveladvisor","Instagram","Week 4 Wed"
"Here's a question worth asking before you put a deposit on anything in Cabo.

“Can I swim in the ocean in front of your resort?”

Along most of the twenty-mile Tourist Corridor the honest answer is no. Strong undertow, rock underfoot, tides that don't behave. It's not a secret and it's not a scandal — Grand Velas publishes it in their own FAQ, which is more than most will do. But nobody volunteers it while you're booking, and plenty of people find out at check-in with their swimsuit already on.

So the pools aren't a consolation prize in Cabo. They're the product. That changes which property is right for you, and it changes which room in it.

Don't take my word for any of this. Go and read the FAQ of whatever resort you're considering. If it doesn't answer the question, that's your answer.

📍 Los Cabos, Mexico

#loscabos #cabosanlucas #traveladvisor","Facebook","Week 4 Wed"
"Three resorts in Los Cabos share a single driveway, and almost nobody books the right one.

They're all Velas. Grand Velas Los Cabos is the famous one — 304 suites, family, the AAA Five Diamond everybody's seen. Next door, Grand Velas Boutique opened in late 2023: 79 suites, adults only, and currently sitting on a perfect five out of five across 398 reviews. Behind both of them is Mar del Cabo — 46 rooms, sixteen-and-over, and genuinely boho in a way the other two aren't trying to be.

Two hundred and fifty metres separate all three.

Here's the part that matters: stay at the Boutique and you get ten restaurants — three of its own plus seven at the big sister next door, including the only Michelin-starred restaurant in Los Cabos, which is included in your rate.

So the question was never “Grand Velas, yes or no.” It was which of the three, and that depends entirely on who you're travelling with and what you want your mornings to sound like.

No filter on any booking site has ever asked you that.

📍 Los Cabos, Mexico

#loscabos #cabosanlucas #traveladvisor","Instagram","Week 4 Fri"
"Three resorts in Los Cabos share a single driveway, and almost nobody books the right one.

They're all Velas. Grand Velas Los Cabos is the famous one — 304 suites, family, the AAA Five Diamond everybody's seen. Next door, Grand Velas Boutique opened in late 2023: 79 suites, adults only, and currently sitting on a perfect five out of five across 398 reviews. Behind both of them is Mar del Cabo — 46 rooms, sixteen-and-over, and genuinely boho in a way the other two aren't trying to be.

Two hundred and fifty metres separate all three.

Here's the part that matters: stay at the Boutique and you get ten restaurants — three of its own plus seven at the big sister next door, including the only Michelin-starred restaurant in Los Cabos, which is included in your rate.

So the question was never “Grand Velas, yes or no.” It was which of the three, and that depends entirely on who you're travelling with and what you want your mornings to sound like.

No filter on any booking site has ever asked you that.

📍 Los Cabos, Mexico

#loscabos #cabosanlucas #traveladvisor","Facebook","Week 4 Fri"
"Four days at Grand Velas. Here is what did not appear on a bill.

A Michelin-starred tasting menu — the only starred restaurant in Los Cabos — with the wine pairing. Walk in off the street and that's $390 a head.

The boat. The spa's water ceremony. Ten restaurants across three adjacent resorts. A sushi bar walked into the pool. And the champagne, which genuinely never stopped.

All-inclusive is a word that has been ruined by the places that use it worst.

📍 Los Cabos, Mexico
💬 DM me CABO

#loscabos #luxurytravel #allinclusive","Instagram","Week 2 Thu"
"Four days at Grand Velas. Here is what did not appear on a bill.

A Michelin-starred tasting menu — the only starred restaurant in Los Cabos — with the wine pairing. Walk in off the street and that's $390 a head.

The boat. The spa's water ceremony. Ten restaurants across three adjacent resorts. A sushi bar walked into the pool. And the champagne, which genuinely never stopped.

All-inclusive is a word that has been ruined by the places that use it worst.

📍 Los Cabos, Mexico
💬 DM me CABO

#loscabos #luxurytravel #allinclusive","Facebook","Week 2 Thu"
"People think I book flights and hotels.

You can book a flight. You've been doing it for years, and you're fine at it.

What you can't do — not because you're not smart, but because you haven't spent four days walking the property — is know that three resorts in Los Cabos share one driveway and that the famous one is probably the wrong one for you. Or that the ocean out front isn't swimmable, and the resort will tell you that at check-in rather than at booking. Or that the only Michelin star in Los Cabos is sitting inside an all-inclusive and comes with the rate.

Between “let's go somewhere” and the moment you're standing in it, there are about forty-seven decisions. Most of them are invisible. Most of them are small. Two or three of them decide whether the week is good or unforgettable.

I make those. That's the product. The booking is just the paperwork at the end.

$400 design fee. In Cabo, one dinner covered it.

💬 DM me CABO — I'll tell you if this one's right for you.","Instagram","Pin now"
"People think I book flights and hotels.

You can book a flight. You've been doing it for years, and you're fine at it.

What you can't do — not because you're not smart, but because you haven't spent four days walking the property — is know that three resorts in Los Cabos share one driveway and that the famous one is probably the wrong one for you. Or that the ocean out front isn't swimmable, and the resort will tell you that at check-in rather than at booking. Or that the only Michelin star in Los Cabos is sitting inside an all-inclusive and comes with the rate.

Between “let's go somewhere” and the moment you're standing in it, there are about forty-seven decisions. Most of them are invisible. Most of them are small. Two or three of them decide whether the week is good or unforgettable.

I make those. That's the product. The booking is just the paperwork at the end.

$400 design fee. In Cabo, one dinner covered it.

💬 DM me CABO — I'll tell you if this one's right for you.","Facebook","Pin now"
